playerID,yearID,playerStint,teamID,league,numberOfGames,numberOfGamesAsBatter,AtBatting,runs,hits,doules,tripples,homeRuns,runsBattedIn,stolenBases,caughtStealing,baseOnBalls,strikeouts,intentionalWalks,hitsByPitch,sacrificeHits,sacrificeFlies,groundedIntoDoublePlays,G_old,playerName
bresnro01,1902,1,BLA,AL,65,65,235,30,64,8,6,4,34,12,,21,,,2,4,,,65,Roger Philip
bressru01,1932,1,PHI,NL,27,27,83,9,19,6,1,0,6,0,,2,5,,0,1,,,27,Raymond Bloom
brettke01,1973,1,PHI,NL,37,37,80,6,20,5,0,4,16,0,0,4,17,0,0,0,1,0,37,Kenneth Alven
brettke01,1979,2,LAN,NL,30,30,11,0,3,0,0,0,2,0,0,0,2,0,0,0,0,1,30,Kenneth Alven
brewebi01,1997,2,PHI,NL,25,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,William Robert
brewebi01,1998,1,PHI,NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,William Robert
brewebi01,1999,1,PHI,NL,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,William Robert
breweji01,1964,1,LAN,NL,34,34,22,0,6,0,0,0,3,0,0,1,10,0,0,0,0,0,34,James Thomas
breweji01,1965,1,LAN,NL,20,20,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,20,James Thomas
breweji01,1966,1,LAN,NL,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,James Thomas
breweji01,1967,1,LAN,NL,30,30,22,0,1,1,0,0,1,0,0,0,8,0,0,1,0,1,30,James Thomas
breweji01,1968,1,LAN,NL,54,54,9,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,54,James Thomas
breweji01,1969,1,LAN,NL,59,59,11,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,59,James Thomas
breweji01,1970,1,LAN,NL,58,58,12,0,1,0,0,0,1,1,0,1,6,0,0,1,0,0,58,James Thomas
breweji01,1971,1,LAN,NL,55,55,9,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,55,James Thomas
breweji01,1972,1,LAN,NL,51,51,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,James Thomas
